payment_intent_id,customer_id,timestamp,status,amount,billing_email,billing_name,billing_phone,billing_line1,billing_city,billing_state,billing_postal_code,payment_method_type
pi_myQdyfLRlcXRQvkCyGgeuNnP,cus_CXjHlL0Suhmhb2,2025-06-30T19:40:31,succeeded,75.29,briana97@example.com,Hannah Khan,(445)798-6706,428 Marissa Knolls,Sarahmouth,VI,35577,card
pi_UA1K8p93D0fMRsY9jwWqn3Zl,cus_CXjHlL0Suhmhb2,2025-07-01T09:20:31,succeeded,92.04,frussell@example.net,Peter Ramos,341-552-5412,428 Marissa Knolls,Sarahmouth,VI,35577,card
pi_mZHVg5DU0uxP5XH8jhwhuyhd,cus_CXjHlL0Suhmhb2,2025-07-01T22:45:31,succeeded,65.71,zacharygreen@example.com,Morgan Wallace,+1-657-352-4237,428 Marissa Knolls,Sarahmouth,VI,35577,card
pi_iusKdNCtumTiynwyY2W8lWAM,cus_CXjHlL0Suhmhb2,2025-07-12T14:20:31,succeeded,18.85,smithbrandon@example.org,Kristine Poole MD,2338433657,428 Marissa Knolls,Sarahmouth,VI,35577,card
pi_nC3I4OR3wrvYZMwgvewWQDyr,cus_CXjHlL0Suhmhb2,2025-07-14T02:20:31,succeeded,61.36,lewiskim@example.org,Robert Baker,220-885-9607,428 Marissa Knolls,Sarahmouth,VI,35577,card
pi_sIWYg5p6rV323C1WnZnq9fu2,cus_CXjHlL0Suhmhb2,2025-07-15T20:40:31,succeeded,11.87,marcusryan@example.com,Jon Hall,(685)824-2659,5575 Sandra Shores,New Jill,MS,23299,card
pi_rbfM2IbnR7WM7R8mDnFaryn1,cus_CXjHlL0Suhmhb2,2025-07-15T22:20:31,succeeded,86.23,eevans@example.com,Robert Gross,(465)910-9528x5673,5575 Sandra Shores,New Jill,MS,23299,card
pi_RgQuGyWfXksNvC61lXQ7NKhr,cus_CXjHlL0Suhmhb2,2025-07-16T08:45:31,succeeded,33.78,elizabethhowell@example.org,Brian Garcia,790-454-1222x30510,5575 Sandra Shores,New Jill,MS,23299,card
pi_1GqWN6HF0vqj3tCSNDvcN7Yl,cus_GIjl593N6ertLc,2025-06-27T08:10:31,succeeded,52.34,acarter@example.org,Mark Sparks,301.926.0429,6927 Jennifer Turnpike,Burkemouth,PA,29306,card
pi_Vi0L3zjGxTZDfbhThZdDOc0h,cus_GIjl593N6ertLc,2025-06-28T04:40:31,succeeded,92.57,kristina56@example.com,Gregory Jones,(984)533-7559x714,6927 Jennifer Turnpike,Burkemouth,PA,29306,card
